trip_id,stop_id,stop_sequence
1048805,139902,13
1048805,97530,14
1048805,335463,15
1048805,409875,16
1048805,524375,17
1048805,218138,18
1048805,637441,19
1048805,539010,20
1048805,275114,21
1048805,313272,22
1048805,286826,23
1048805,50068,24
1048805,264692,25
1048805,607303,26
1048805,592404,27
1048805,16975,28
1048805,417110,29
1048805,66008,30
1048805,193969,31
1048805,439967,32
1048805,26820,33
1048805,122366,34
1054644,546683,0
1054644,499391,1
1054644,621041,2
1054644,247790,3
1054644,533739,4
1054644,582513,5
1054644,621945,6
1054644,212681,7
1054644,194070,8
1054644,215926,9
1054644,667084,10
1054644,112872,11
1054644,312521,12
1054644,139902,13
1054644,97530,14
1054644,335463,15
1054644,409875,16
1054644,524375,17
1054644,218138,18
1054644,637441,19
1054644,539010,20
1054644,275114,21
1054644,313272,22
1054644,286826,23
1054644,50068,24
1054644,264692,25
1054644,607303,26
1054644,592404,27
1054644,16975,28
1054644,417110,29
1054644,66008,30
1054644,193969,31
1054644,439967,32
1054644,26820,33
1054644,122366,34
1055456,546683,0
1055456,499391,1
1055456,621041,2
1055456,247790,3
1055456,533739,4
1055456,582513,5
1055456,621945,6
1055456,212681,7
1055456,194070,8
1055456,215926,9
1055456,667084,10
1055456,112872,11
1055456,312521,12
1055456,139902,13
1055456,97530,14
1055456,335463,15
1055456,409875,16
1055456,524375,17
1055456,218138,18
1055456,637441,19
1055456,539010,20
1055456,275114,21
1055456,313272,22
1055456,286826,23
1055456,50068,24
1055456,264692,25
1055456,607303,26
1055456,592404,27
1055456,16975,28
1055456,417110,29
1055456,66008,30
1055456,193969,31
1055456,439967,32
1055456,26820,33
1055456,122366,34
1059314,546683,0
1059314,499391,1
1059314,621041,2
1059314,247790,3
1059314,533739,4
1059314,582513,5
1059314,621945,6
1059314,212681,7
1059314,194070,8
1059314,215926,9
1059314,667084,10
1059314,112872,11
1059314,312521,12
1059314,139902,13
1059314,97530,14
1059314,335463,15
1059314,409875,16
1059314,524375,17
1059314,218138,18
1059314,637441,19
1059314,539010,20
1059314,275114,21
1059314,313272,22
1059314,286826,23
1059314,50068,24
1059314,264692,25
1059314,607303,26
1059314,592404,27
1059314,16975,28
1059314,417110,29
1059314,66008,30
1059314,193969,31
1059314,439967,32
1059314,26820,33
1059314,122366,34
1059620,122366,0
1059620,558336,1
1059620,321643,2
1059620,82633,3
1059620,208066,4
1059620,418217,5
1059620,652613,6
1059620,444060,7
1059620,174853,8
1059620,38349,9
1059620,529410,10
1059620,396307,11
1059620,29808,12
1059620,426778,13
1059620,535014,14
1059620,18649,15
1059620,361570,16
1059620,386320,17
1059620,294579,18
1059620,583705,19
1059620,160843,20
1059620,296865,21
1059620,634877,22
1059620,420541,23
1059620,602070,24
1059620,215926,25
1059620,236565,26
1059620,277163,27
1059620,412700,28
1059620,399768,29
1059620,210872,30
1059620,511257,31
1059620,678009,32
1059620,401447,33
1059620,63941,34
1061846,122366,0
1061846,558336,1
1061846,321643,2
1061846,82633,3
1061846,208066,4
1061846,418217,5
1061846,652613,6
1061846,444060,7
1061846,174853,8
1061846,38349,9
1061846,529410,10
1061846,396307,11
1061846,29808,12
1061846,426778,13
1061846,535014,14
1061846,18649,15
1061846,361570,16
1061846,386320,17
1061846,294579,18
1061846,583705,19
1061846,160843,20
1061846,296865,21
1061846,634877,22
1061846,420541,23
1061846,602070,24
1061846,215926,25
1061846,236565,26
1061846,277163,27
1061846,412700,28
1061846,399768,29
1061846,210872,30
1061846,511257,31
1061846,678009,32
1061846,401447,33
1061846,63941,34
1065172,122366,0
1065172,558336,1
1065172,321643,2
1065172,82633,3
1065172,208066,4
1065172,418217,5
1065172,652613,6
1065172,444060,7
1065172,174853,8
1065172,38349,9
1065172,529410,10
1065172,396307,11
1065172,29808,12
1065172,426778,13
1065172,535014,14
1065172,18649,15
1065172,361570,16
1065172,386320,17
1065172,294579,18
1065172,583705,19
1065172,160843,20
1065172,296865,21
1065172,634877,22
1065172,420541,23
1065172,602070,24
1065172,215926,25
1065172,236565,26
1065172,277163,27
1065172,412700,28
1065172,399768,29
1065172,210872,30
1065172,511257,31
1065172,678009,32
1065172,401447,33
1065172,63941,34
1069472,122366,0
1069472,558336,1
1069472,321643,2
1069472,82633,3
1069472,208066,4
1069472,418217,5
1069472,652613,6
1069472,444060,7
1069472,174853,8
1069472,38349,9
1069472,529410,10
1069472,396307,11
1069472,29808,12
1069472,426778,13
1069472,535014,14
1069472,18649,15
1069472,361570,16
1069472,386320,17
1069472,294579,18
1069472,583705,19
1069472,160843,20
1069472,296865,21
1069472,634877,22
